transaction_date,buuid,transaction_value,approved_transaction_count,failed_transaction_count
2021-07-10,1582533813745-f64f36a2-8efb-4ca4-b492-0ffb2b88cefd,820,5,0
2021-07-10,1584359884562-4995383c-0d1d-4c39-a4ca-d86e1325a0e0,240,2,0
2021-07-10,1596315908073-443353a6-d409-4732-aee5-9f9a752dd8ee,360,6,1
2021-07-10,1620911603748-25de737a-fc7b-458f-9c06-c2ce9b18ea0c,1025,14,2
2021-07-11,1554136026625-5032c2d3-5665-4eb5-8511-be1622581483,8583,38,10
2021-07-11,1508242147176-601f2265-35ce-49ab-b372-e6f4bdec49db,1494,10,0
2021-07-11,1608344118230-91220b19-a0ca-4ff5-8d56-0b2bc041d7c4,1820,8,2
2021-07-12,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,4615.96,20,1
2021-07-12,1550138047147-210d6ec8-e4b1-49a1-afad-a1cceba5ed2f,9830,15,4
2021-07-12,1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,1350,16,4
2021-07-12,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,18735,33,0
2021-07-12,1604063541171-bf23040a-56b3-42dd-9b1b-4c055d25e69d,75,1,5
2021-07-13,1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,19436,104,10
2021-07-13,1607424361966-803a9db8-f078-4427-bc4e-9eca2111fd95,62485,190,10
2021-07-13,1561649164694-6705d60b-716d-4fdf-92d5-87a76d170060,7130,3,0
2021-07-14,1608268241768-52863404-b5a6-4fe1-ab24-4fac6caeb6fa,18864,66,15
2021-07-14,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,10303.62,37,7
2021-07-14,1606753055023-4d6a9e44-87ad-4a9c-badd-4c33f16fa177,350,3,1
2021-07-14,1575035333365-5ad1d99f-c8cf-4a4c-9d0e-484e941258d1,1618,30,6
2021-07-14,1615897063623-67b0842c-8adc-4879-8101-1f84e682507e,292,3,1
2021-07-14,1556718420107-d4505298-37b0-4804-9f5e-c949164bf147,2030,5,0
2021-07-15,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,11465,75,75
2021-07-01,1505224680537-7903972e-3a59-42e1-83cb-485992adee13,1395,23,1
2021-07-01,1615208124818-7206300d-7b4c-4645-8f6e-be878a6d8951,8748.49,6,2
2021-07-01,1609225159063-c5ef57c6-b630-4a20-b455-359abf5eeb9d,4536,24,1
2021-07-01,1621202180552-ceb72c1f-78ff-42e0-af72-22dd4001d22a,688.8,6,1
2021-07-01,1551100453469-57c35973-7476-40e2-a848-30a2dd5d269b,1840,34,24
2021-07-01,1525870087639-557a6be1-10ac-4531-b7fe-a13ff3b7ff20,3290,14,0
2021-07-01,1603903434921-c575c532-b033-410a-9de9-f2d7e18f8401,6520,6,0
2021-07-02,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,50270,60,10
2021-07-02,1622882399181-e70a367f-78dd-4943-b1d8-65ac4f091761,2885,4,8
2021-07-02,1611066603832-21cf8954-f92e-4b02-89c3-e1aefafb78f5,530,5,1
2021-07-02,1578033574725-099132f6-7e24-459f-86e1-0b34b607e8b0,40200,15,30
2021-07-02,1498144622675-cd9a0afc-2435-48d8-9199-c543c709d22b,2740,5,1
2021-07-02,1601374866641-ac09c6d6-f2af-42c3-9b1c-872e0d62015d,7720,14,0
2021-07-02,1559749309028-6402be7e-4423-4a44-bad2-c67223989a85,10867,8,0
2021-07-03,1574942256239-bc2aa261-d428-4353-a112-e0f351193700,6032,10,6
2021-07-03,1554136026625-5032c2d3-5665-4eb5-8511-be1622581483,4904,19,6
2021-07-03,1564573777032-ec1f4743-af11-48ee-aa48-16ee3e724db2,2847.8,18,2
2021-07-03,1534224024621-48d2bddb-a0c0-4021-9512-f21f3b495d3b,1130,4,5
2021-07-03,1586994324090-b7314e76-4c99-4584-9191-c7baf662be6e,4738,32,22
2021-07-04,1554136026625-5032c2d3-5665-4eb5-8511-be1622581483,3610,19,5
2021-07-04,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,11544,88,0
2021-07-04,1604063541171-bf23040a-56b3-42dd-9b1b-4c055d25e69d,3725,12,3
2021-07-05,1505224680537-7903972e-3a59-42e1-83cb-485992adee13,2050,29,1
2021-07-05,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,5183,15,3
2021-07-06,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,628,14,1
2021-07-06,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,52595,90,10
2021-07-06,1592736443622-d75a5636-8af5-4baa-828d-a1626342fcdc,1710,5,0
2021-07-06,1607417548512-693e7286-1436-45ec-b7c0-e6c92ce83f38,1991,7,0
2021-07-06,1579090622924-c53eb2f6-d145-4d38-bf15-50d7969387f5,2186,12,0
2021-07-06,1616501877368-112fb449-fb08-4909-8403-a3c0e60c9c7c,610,2,0
2021-07-07,1559749309028-6402be7e-4423-4a44-bad2-c67223989a85,5635,4,0
2021-07-07,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,6125,13,7
2021-07-07,1474536195771-180abe91-5d55-4426-ba7a-76b5fec1a897,1036,3,0
2021-07-07,1607417548512-693e7286-1436-45ec-b7c0-e6c92ce83f38,1728,9,0
2021-07-07,1579090622924-c53eb2f6-d145-4d38-bf15-50d7969387f5,2345,11,2
2021-07-08,1584986022737-cff53979-433b-438d-94b9-85fd8aa52180,8249.69,23,2
2021-07-08,1617124884706-9a12d090-219c-4142-b1f6-7fbde6fca746,915,3,0
2021-07-08,1607417548512-693e7286-1436-45ec-b7c0-e6c92ce83f38,835,6,0
2021-07-08,1575035333365-5ad1d99f-c8cf-4a4c-9d0e-484e941258d1,1851,36,2
2021-07-09,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,42525,100,20
2021-07-09,1512124108081-5d462775-53e2-4f4f-9ccf-15f4e0614a46,3473,44,6
2021-07-09,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,5969.5,15,7
2021-07-09,1586897559191-f97b47c8-b64c-4bf3-958c-c8620c23f989,4716,13,4
2021-07-09,1537776497168-7927fc24-4d77-4d5a-b2ec-98602f920bf0,7864,7,1
2021-07-10,1609225159063-c5ef57c6-b630-4a20-b455-359abf5eeb9d,2478,14,0
2021-07-10,1501680821448-190eeff4-b3d0-4674-9f69-3dc56692504b,760,7,0
2021-07-10,1592738706633-e2f4498c-71bb-4500-b2e6-8ba844432a8d,12500,24,2
2021-07-10,1505216474210-01bf2eb5-2348-492c-a824-9f4a3c98d599,2511.25,11,1
2021-07-10,1621202180552-ceb72c1f-78ff-42e0-af72-22dd4001d22a,931,11,1
2021-07-11,1622066064537-ad986e32-7de1-4504-9cb6-9c12393f0a79,2830,21,0
2021-07-11,1499786536388-78153cc6-e385-476b-aaf4-3989e25bc143,809,7,2
2021-07-11,1579090622924-c53eb2f6-d145-4d38-bf15-50d7969387f5,2725,15,6
2021-07-11,1598260387230-b0c5f7f9-85f7-4626-985f-dd3cca86f197,160,2,1
2021-07-11,1581669839783-dd6eb860-eead-4e3e-8a19-159b25342443,17738,60,24
2021-07-12,1617124884706-9a12d090-219c-4142-b1f6-7fbde6fca746,690,1,0
2021-07-12,1479108360638-bf43ff5d-7e91-43c3-aeb5-f2fda4502650,12482.16,3,0
2021-07-13,1588848041740-384c66c5-1448-4812-8d05-b38e3c99ebc0,1360,2,0
2021-07-13,1598947999844-23f5aeaa-caa1-4b4b-ad14-d4d9dc752ee4,3450,6,1
2021-07-13,1620045517589-e5dea663-7af1-4249-8b2f-7ba09c708e23,4382,12,2
2021-07-14,1562706340143-9d8cd2e6-ba1f-415e-9430-c06ae86e6131,8349.19,13,1
2021-07-14,1589298104786-b83d7fe1-35c5-43fb-b36d-94571c3a2e46,19400,7,2
2021-07-14,1584127344675-bf382bff-4ce5-470a-98e4-dc8db83e03de,1400,4,0
2021-07-14,1526029675245-27abb22b-94de-4a16-bac5-29289a9ece6e,1209.34,8,0
2021-07-14,1601367687832-77fc24dd-a571-441c-afec-7a68922b5f0e,3221.5,14,2
2021-07-14,1554474923734-7ba6b899-2bbd-468a-b56c-6b83125358f7,554,6,2
2021-07-14,1587552938317-53d765dd-235b-4e7f-b19f-50cebead47ae,46,1,1
2021-07-14,1581669839783-dd6eb860-eead-4e3e-8a19-159b25342443,7090,26,2
2021-07-15,1617135765902-4609af92-4951-4347-a328-79a2f7e51647,1261,22,2
2021-07-15,1581591062841-49173f13-cc8d-4608-9fe8-e3af1013219b,8172,20,5
2021-07-15,1608219600940-a4207577-3395-4117-92b3-d870ec721416,1425,19,3
2021-07-15,1570796428588-b82413a7-e0bc-4c05-a220-92e1d1a32f2b,652.6,2,0
2021-07-15,1606144092277-c75b353c-77c0-429a-bd35-0ab5da2e38a2,1122,6,2
2021-07-16,1579090622924-c53eb2f6-d145-4d38-bf15-50d7969387f5,3131,11,0
2021-07-16,1620911603748-25de737a-fc7b-458f-9c06-c2ce9b18ea0c,585,5,5
2021-07-17,1620045517589-e5dea663-7af1-4249-8b2f-7ba09c708e23,1948,9,0
2021-07-17,1578390627124-52e01163-6e27-4e85-8468-51c7f8ee6e24,17130,72,45
2021-07-17,1578070189347-46a26fa5-f2ff-47a5-ac3c-b71cc054f2f8,3817,22,5
2021-07-17,1586897559191-f97b47c8-b64c-4bf3-958c-c8620c23f989,4050,11,0
2021-07-17,1604063541171-bf23040a-56b3-42dd-9b1b-4c055d25e69d,4113,16,11
2021-07-18,1557397298991-b1aad3fd-3d95-4921-85d9-04a504c28606,6980,45,85
2021-07-19,1624366890594-40f2ee0d-8b5e-427c-9e8d-bead75e6feff,484,3,0
2021-07-19,1620230682032-a6517973-efdd-427b-b519-188c8bc6df83,330,4,0
2021-07-01,1606399230017-25bfb619-6878-4663-9e95-47a5a5c60b80,490,9,0
2021-07-01,1507368822213-d5ecea52-edc2-4a60-9032-efedc162f4a1,575,3,0
2021-07-01,1620797045140-9505ca57-9123-49f1-9621-7cb96f10494b,1840,6,1
2021-07-01,1520416524678-16a3d281-ccda-41d3-8f98-19ff36bc54ca,950,4,0
2021-07-01,1485330410128-537d8570-7e91-44bc-b54b-40e8be9b4643,10312,120,0
2021-07-01,1622301451154-ebcc4697-1a31-44d9-bd8a-062b57c1d20f,5580,12,1
2021-07-02,1550138047147-210d6ec8-e4b1-49a1-afad-a1cceba5ed2f,2278,9,0
2021-07-02,1549369380501-4a76d419-be6c-4ff6-9705-5d2186f58fa4,3880,4,0
2021-07-02,1505224680537-7903972e-3a59-42e1-83cb-485992adee13,1860,28,1
2021-07-02,1614443245255-7bd5db22-e8e8-4962-8da3-8046fb6ee291,279,3,0
2021-07-02,1613884966766-b176a958-5aa6-413a-bfbb-1ce6484784e6,1881,19,1
2021-07-02,1591146828456-39cda131-8c48-4ed1-8cf9-d53d36f299dc,6294,12,0
2021-07-03,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,969,11,0
2021-07-03,1556802952350-5f5a9b37-64c6-4dde-aab6-8fbe42ca70bd,2018,9,0
2021-07-03,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,4743,14,7
2021-07-03,1537776497168-7927fc24-4d77-4d5a-b2ec-98602f920bf0,4884,5,0
2021-07-03,1592839492894-3181a914-6a94-4452-84f2-93ca44252252,2500,2,2
2021-07-03,1598260387230-b0c5f7f9-85f7-4626-985f-dd3cca86f197,708,3,0
2021-07-03,1603903434921-c575c532-b033-410a-9de9-f2d7e18f8401,6870,8,2
2021-07-03,1606402847444-7ea434b0-ed9c-4d13-a7a7-d2fa478cd6c1,268,2,0
2021-07-03,1607104477200-3fedb207-1fab-4b71-9ef5-ade3b694b5b8,350,1,2
2021-07-03,1620911603748-25de737a-fc7b-458f-9c06-c2ce9b18ea0c,2645,23,6
2021-07-03,1622066064537-ad986e32-7de1-4504-9cb6-9c12393f0a79,2340,11,7
2021-07-04,1491195056982-bff0eed0-c3f4-4e0c-8cc3-339b1cac769e,967,2,0
2021-07-04,1606402847444-7ea434b0-ed9c-4d13-a7a7-d2fa478cd6c1,276,3,1
2021-07-04,1607417548512-693e7286-1436-45ec-b7c0-e6c92ce83f38,5391,17,3
2021-07-04,1610480766607-a68a1b2b-c144-4391-a356-1af188dda299,1133,6,2
2021-07-05,1598947999844-23f5aeaa-caa1-4b4b-ad14-d4d9dc752ee4,4800,10,0
2021-07-05,1578918956457-d6904094-f207-4166-9420-f0ca1a275a87,3395,11,0
2021-07-05,1578070189347-46a26fa5-f2ff-47a5-ac3c-b71cc054f2f8,1629,11,8
2021-07-05,1591500802732-90d6f347-4736-46f4-adca-de4520293e2a,515,2,3
2021-07-06,1605166815002-fb4120cc-b7f9-450a-8b41-76017111472d,409,6,1
2021-07-06,1513849122969-936e9a7b-c1b1-48de-9dd4-f182284b859d,14050,72,34
2021-07-06,1578070189347-46a26fa5-f2ff-47a5-ac3c-b71cc054f2f8,1483.5,9,11
2021-07-06,1501680821448-190eeff4-b3d0-4674-9f69-3dc56692504b,400,4,0
2021-07-06,1525870087639-557a6be1-10ac-4531-b7fe-a13ff3b7ff20,5694,22,0
2021-07-07,1607424361966-803a9db8-f078-4427-bc4e-9eca2111fd95,56570,150,0
2021-07-07,1547072155388-6473e8ed-1a3f-45af-a8e1-97420b9aaf9f,2500,5,0
2021-07-07,1605166815002-fb4120cc-b7f9-450a-8b41-76017111472d,391,2,1
2021-07-07,1549369380501-4a76d419-be6c-4ff6-9705-5d2186f58fa4,539.6,1,0
2021-07-07,1552412048292-b1246b83-3799-4be1-ba45-6e041354db07,515,11,0
2021-07-07,1550138047147-210d6ec8-e4b1-49a1-afad-a1cceba5ed2f,3394,13,1
2021-07-07,1578070189347-46a26fa5-f2ff-47a5-ac3c-b71cc054f2f8,2146,12,5
2021-07-07,1565602997815-f739ce46-abc4-4338-a042-3c8a98242807,12900,45,0
2021-07-07,1586897559191-f97b47c8-b64c-4bf3-958c-c8620c23f989,1151,8,3
2021-07-08,1574413743478-cbc74fdd-efe5-4a78-abbe-0cd59a0f0e5f,1204,16,7
2021-07-08,1611066603832-21cf8954-f92e-4b02-89c3-e1aefafb78f5,200,2,1
2021-07-08,1589961365391-2b9a3838-cfe4-494d-be95-264ca3b038e7,5892,10,6
2021-07-08,1605862209224-f9948586-fb13-4ee1-b30e-37fea7db5444,1360,10,2
2021-07-08,1581633732665-416ca8f8-dc68-4567-be17-c6ed13609eb0,1797,3,5
2021-07-09,1574942256239-bc2aa261-d428-4353-a112-e0f351193700,6344,18,2
