business_type,cohort_date,province,industry_l1,industry_l2,industry_l3,primary_service,buuid,plan_created,charge_rate,principal_amount,total_amount_payable,total_amount_paid,plan_state
Sole Proprietor,2017-06-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1498479703841-a9a6037b-32ff-4ce0-8871-7c3fa518b43a,2021-09-16 12:01:00,23,31000,40040,20131.44,open
Sole Proprietor,2017-06-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Quick service restaurant with delivery,Card Machine,1498200824452-8528a5e6-c2ba-4757-b57b-437041855c5c,2021-10-10 03:49:02,9,4000,4930,2080.8,open
Sole Proprietor,2017-07-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1501163899687-8625b44f-45ab-4cb9-98e3-1bc3346900cc,2021-11-27 17:54:57,7,6000,9634,738.5,open
Sole Proprietor,2017-07-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1491508034120-49340342-d726-4c5a-91b4-6d25716d14f0,2021-11-04 13:55:54,23,22000,28650,3921.5,open
Company,2017-08-01 00:00:00,Free State,"Food, drink and hospitality",Takeaway,Quick service restaurant with delivery,Card Machine,1503300253267-f70ea178-5d91-4dce-a1a5-0ca40197718b,2021-10-01 19:38:58,21,18000,53090,11247.6,open
Company,2017-08-01 00:00:00,Western Cape,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1503584119498-59f69e1b-e781-4023-8491-69fe1fa4486f,2021-10-29 13:55:46,15.92,350000,451500,38275.35,open
Company,2017-10-01 00:00:00,Gauteng,Professional services,Creative services,Photography/Art/Graphics/Design,Card Machine,1504505145972-d020f65b-9022-40e9-b50d-0a5022e336c7,2021-10-23 18:14:44,24,8000,10450,7018.2,open
Sole Proprietor,2017-11-01 00:00:00,Free State,Travel and tourism,Other tourism,Tour operator/Travel Agent,Card Machine,1510139860547-4785b212-42e8-408a-9218-b3acfbd2982b,2021-10-31 11:13:04,16,4000,4930,1088,open
Sole Proprietor,2017-11-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1500295206958-f6a050b4-d6e5-4280-abb0-132792bb3ab7,2021-11-05 21:27:32,10,40000,47250,7805.58,open
Sole Proprietor,2017-11-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1510754116578-055e3979-9292-4d2b-894a-5c9cc63c35bf,2021-09-23 05:06:57,21,16000,20850,5113.71,open
Sole Proprietor,2017-11-01 00:00:00,Western Cape,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1510823457999-53d345c3-1ec2-4a05-9e7e-3e259959efb5,2021-09-06 17:41:22,17,16000,27439,11535.99,open
Company,2015-12-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1448958755531-5b683b8c-21c1-43de-860d-dad09eb13f21,2021-09-10 08:55:29,21,42000,54650,41513.85,open
Company,2015-12-01 00:00:00,Western Cape,Home and repair,Home repair,Dry cleaning and laundry,Card Machine,1449737993378-40d6d5fa-b55e-4de2-bc84-1f9d059dcfa3,2021-09-09 09:16:08,7,3500,12108,5313.23,open
Company,2016-05-01 00:00:00,Gauteng,Retail,Retail apparel,Clothing and Accessories,Card Machine,1462467013476-f52ab72f-0ca6-4779-9c56-d55b60d88fb5,2021-11-09 16:03:35,14.89,150000,186000,4451.36,open
Company,2016-06-01 00:00:00,Free State,Home and repair,Asset repair,Computer / electronics / appliances,Card Machine,1464768992441-88f17ed7-c95f-4318-a59f-2392db36f0dc,2021-10-20 12:20:34,1,3000,3890,3890,finished
Company,2016-06-01 00:00:00,Free State,Home and repair,Asset repair,Computer / electronics / appliances,Card Machine,1464768992441-88f17ed7-c95f-4318-a59f-2392db36f0dc,2021-11-03 09:26:59,23,87000,116922,17342.05,open
Company,2016-08-01 00:00:00,Western Cape,Online,Online,Online Retail,Card Machine,1454321657435-bd36f9ff-22a9-4212-b416-7b252fe94ed1,2021-10-20 09:18:54,17,10500,12860,12860,finished
Company,2016-08-01 00:00:00,Western Cape,Online,Online,Online Retail,Card Machine,1454321657435-bd36f9ff-22a9-4212-b416-7b252fe94ed1,2021-11-12 12:10:27,23,102000,132650,2739.76,finished
Company,2016-10-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Convenience store,Card Machine,1471025575706-e6f31f40-3ce8-46dc-90e1-4f392b7e56a8,2021-11-16 14:17:21,11.76,40000,43600,5514.05,open
Company,2016-10-01 00:00:00,Kwazulu-Natal,Retail,Other retail,Specialty shop,Card Machine,1477462336278-883ff346-dd17-4002-9700-e5f5f48da3a6,2021-10-28 05:21:12,23,25000,41800,16844.01,open
Sole Proprietor,2016-11-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1477919006355-a08102de-3509-45c5-9f8b-eff3c3eb9d5a,2021-11-21 12:32:20,23,23000,29950,,collections_on_hold
Company,2017-01-01 00:00:00,Limpopo,Online,Online,Online Retail,Card Machine,1484832730995-5ad0a93c-f8f3-45bd-999b-bc4f17384dfa,2021-10-14 09:18:53,10.07,70000,84000,20603.4,open
Sole Proprietor,2017-03-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1488735069322-dcd1fcec-f37b-4032-b973-a4d117c25dbb,2021-10-22 08:56:57,23,45000,59055,6131.34,open
Company,2017-04-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1472708396283-783b892f-c6fc-4d61-a1be-b77f217e2bfb,2021-10-27 13:42:06,23,30000,39050,6114.32,open
Sole Proprietor,2017-04-01 00:00:00,Free State,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1493294273027-622a2d36-cd89-4eb1-bb71-ee86068a1011,2021-09-13 10:51:59,21,34000,76489,21068.61,open
Sole Proprietor,2017-05-01 00:00:00,Mpumalanga,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1479535818517-82a77e85-1cd0-4d2f-8242-5e0cf28aeef0,2021-11-04 16:20:40,15,12000,14690,3795,open
Sole Proprietor,2017-06-01 00:00:00,Western Cape,NPO,NPO,Religious Organizations,Card Machine,1496318816164-f6e4f39f-2295-4970-bcbb-abfe24f555ef,2021-10-21 14:25:06,24,13500,17600,4704.48,open
Company,2017-06-01 00:00:00,Western Cape,Travel and tourism,Accomodation,Bed and Breakfast,Card Machine,1497436937417-5c476795-9830-473e-89ff-51b8a3f39056,2021-10-16 09:22:03,14,25000,32550,3703.9,open
Sole Proprietor,2017-07-01 00:00:00,Free State,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1500188519237-8bb93f9b-aacf-4925-a180-3c35f3360127,2021-11-15 11:24:59,24,14000,18250,2260.8,open
Sole Proprietor,2017-08-01 00:00:00,Northern Cape,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1501776832244-78854f9f-65b6-4d54-b3c2-2892c0da2362,2021-11-18 11:18:25,23,66000,85850,,collections_on_hold
Sole Proprietor,2017-08-01 00:00:00,Western Cape,Professional services,Creative services,Photography/Art/Graphics/Design,Card Machine,1503310187488-561b1912-cb35-499d-a9c1-35b9a64601b4,2021-11-18 15:39:07,24,24000,31250,,collections_on_hold
Company,2017-09-01 00:00:00,Gauteng,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1505549391355-1ddd0343-1554-4b18-a8b6-6e6896114baf,2021-10-27 13:25:44,24,75000,96050,19495.2,open
Sole Proprietor,2017-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1486145986511-68de1eea-e72a-4b0b-b570-3bb1a281b901,2021-09-03 09:44:54,13,102000,128570,128570,finished
Sole Proprietor,2017-10-01 00:00:00,Mpumalanga,Leisure and entertainment,Public,Ticketing,Card Machine,1479910239563-8a9d9988-8636-4777-ab15-f6b91edadb5c,2021-10-14 10:31:00,8.18,100000,129000,21183.44,open
Sole Proprietor,2017-10-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1507786452666-769a9fcd-4a0f-4c10-b024-196b498a2542,2021-09-10 11:44:45,15.88,483096.75,565899.35,565899.35,finished
Company,2017-10-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Quick service restaurant with delivery,Card Machine,1508758516871-f1f623bd-e77f-4699-8725-917cc4ed6e3c,2021-10-07 12:27:26,14.38,350000,451500,77759.2,open
Company,2017-11-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1511434292449-ffba156b-a297-4be4-91d4-e85162993499,2021-10-26 14:33:14,23,10000,34810,5463.19,open
Sole Proprietor,2017-11-01 00:00:00,Western Cape,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1511434552265-8f30f4ed-e79e-4152-9d5a-6b3166613687,2021-10-04 01:56:10,21,16500,64997,64997,finished
Sole Proprietor,2017-12-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1511509163552-238c7e9a-4b0b-4313-a887-43734607a1e3,2021-10-19 10:36:11,24,12500,16300,3423.6,open
Sole Proprietor,2018-01-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1513518432504-6a5b6888-1d04-4be2-b492-fc7bca4ddf4a,2021-10-20 06:28:15,17,30000,36650,11644.15,open
Company,2015-04-01 00:00:00,Northern Cape,"Food, drink and hospitality",Takeaway,Coffee shop,Card Machine,1428425695825-8ac79751-fcdf-4087-b620-60d0ab93e4f3,2021-09-14 07:57:25,19.08,200000,224000,226701.48,finished
Sole Proprietor,2015-11-01 00:00:00,Gauteng,Home and repair,Home repair,Direct selling,Card Machine,1445930138592-ea8d3ce3-0909-4cb3-a81f-a324d8e03765,2021-11-18 11:14:12,17,6500,7980,,collections_on_hold
Sole Proprietor,2016-04-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1459973847537-7b2620ba-0f33-4ad8-99a0-eeec2427618d,2021-09-29 08:46:14,22,42000,149025,25353.9,open
Sole Proprietor,2016-06-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1464788165038-0c5a23cc-36dd-430e-be2d-5b83c64e5eb6,2021-11-29 06:55:16,24,16000,20850,6644.4,open
Company,2016-09-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1475010948174-b0cf3bb5-511f-4e38-9d86-50939b90ac5c,2021-10-14 12:11:35,24,59000,96491,96491,finished
Company,2016-09-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1475010948174-b0cf3bb5-511f-4e38-9d86-50939b90ac5c,2021-11-23 13:06:48,23,75000,176059,,collections_on_hold
Sole Proprietor,2016-10-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1476949129715-ea0de6dc-9a88-475a-8d80-9b538e5f3b93,2021-11-24 18:13:33,10,7000,8800,,collections_on_hold
Sole Proprietor,2017-01-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1483639521222-1de81eb7-aa5f-449a-8280-4d6acddd684a,2021-11-26 09:31:28,15.47,150000,193500,,collections_on_hold
Sole Proprietor,2017-02-01 00:00:00,Mpumalanga,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1487346000459-0ca0564c-344b-4c72-9a92-7b9e67fa4e91,2021-09-01 08:40:02,16,8000,10450,5978.56,open
Company,2017-02-01 00:00:00,Western Cape,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1487594230319-bf2141c0-b7fc-421c-a734-b4ab2a368d2a,2021-10-23 04:13:56,21,12000,75295,13146.42,open
Sole Proprietor,2017-03-01 00:00:00,North West,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1480835062853-8964c487-8c4e-49cd-a250-44d61e6dce98,2021-10-15 08:51:16,23,35000,45550,11666.75,open
Company,2017-03-01 00:00:00,Free State,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1484834667492-04ce1b02-9fc8-4e87-b164-dae5f5a06a0b,2021-10-15 13:53:17,11.25,100000,117000,45602.51,open
Company,2017-03-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1490638042203-5685b1fc-339e-405d-8466-c007c70ace75,2021-09-01 07:54:20,23,20000,25850,25850,finished
Company,2017-03-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1490638042203-5685b1fc-339e-405d-8466-c007c70ace75,2021-11-08 14:03:49,23,14500,37171,6474.5,open
Sole Proprietor,2017-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1491577633611-c44a8b4c-bff5-4ea8-8b2f-fa1e1f346082,2021-11-26 19:56:00,23,247000,321150,,collections_on_hold
Sole Proprietor,2017-04-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Food truck / cart,Card Machine,1491577633611-c44a8b4c-bff5-4ea8-8b2f-fa1e1f346082,2021-11-26 19:56:00,23,247000,321150,2244.8,open
Sole Proprietor,2017-08-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1501061615770-c2c8b0df-da97-4f09-8efc-044d0092c6d1,2021-10-13 03:40:39,9,10000,12250,5023.35,open
Sole Proprietor,2017-08-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Bar/Club/Wine Farm,Card Machine,1503681645154-57f85518-0739-45d6-8b23-6b7ea357f14c,2021-10-05 05:53:26,21,19000,31974,13202.07,open
Sole Proprietor,2017-10-01 00:00:00,Eastern Cape,Retail,Retail art,Antiques & Restorations,Card Machine,1507300995779-15354f1c-5158-456d-b3ac-21e9f27c742e,2021-11-03 12:04:46,16,40000,65194,16872.48,open
Company,2017-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1509444747142-f431e1e8-5f64-4ce3-8d2a-3d6137c2c9e5,2021-10-27 06:13:21,4.24,32000,37440,10411.68,open
Sole Proprietor,2017-11-01 00:00:00,Gauteng,Retail,Retail home,Food/Beverage/Grocery,Card Machine,1510265298562-837ed523-ba40-4897-8a46-f9b34cf23bfe,2021-10-31 06:05:27,20,20000,26050,8738,open
Company,2017-11-01 00:00:00,Limpopo,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1510906988095-9ddef4f8-d50e-417d-92a1-45ac1ae0b479,2021-10-15 20:00:37,23,21000,27350,10833.46,open
Sole Proprietor,2017-12-01 00:00:00,Gauteng,"Food, drink and hospitality",Other food,Other,Card Machine,1512393944646-bc6f1db2-1b57-43c6-839e-ae7cd7f7434b,2021-10-31 07:37:50,23,58000,75450,13228.82,open
Sole Proprietor,2017-12-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1513260992333-74dc500e-4a9a-4463-8cd5-8f828e4f1f7c,2021-10-25 11:33:47,24,24000,31250,5922.72,open
Sole Proprietor,2018-01-01 00:00:00,Kwazulu-Natal,"Food, drink and hospitality",Sit-in,Café,Card Machine,1513836515061-7ea19a1e-5051-4519-a82b-fb44954e2ec0,2021-09-06 09:43:11,22,9500,12400,5746.66,open
Company,2018-02-01 00:00:00,Limpopo,Retail,Retail art,Art Dealer/Gallery,Card Machine,1517159165637-4234cb88-090f-41ad-8197-28686c44c207,2021-09-23 11:03:36,21,34000,44250,44250,finished
Company,2018-02-01 00:00:00,Gauteng,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1518092828604-543ebb89-1fb0-4b01-948a-2e0bab29e546,2021-11-19 18:24:27,16,8500,10420,,collections_on_hold
Company,2018-02-01 00:00:00,Gauteng,Home and repair,Asset repair,Automotive services,Card Machine,1518431996160-2d41c826-edee-4d94-a79b-47062d22d5cc,2021-11-17 07:20:34,23,61000,127508,4919.7,open
Company,2018-02-01 00:00:00,Western Cape,Home and repair,Home repair,Cleaning/Laundry Services,Card Machine,1502398463555-6b72494c-2ac9-4b95-a8b3-87cfc2d74e98,2021-11-28 13:58:25,23,24000,52017,1938.9,open
Company,2015-11-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Sport,Sport & Fitness,Card Machine,1448010304607-5dce5236-a322-4826-8aa1-3278c780357a,2021-11-04 07:24:59,23,33000,42950,8635.81,open
Company,2016-05-01 00:00:00,Western Cape,Home and repair,Home repair,Direct selling,Card Machine,1462278286483-3e92ddf0-fff1-4c95-920d-5f58eeacf5a8,2021-10-06 07:44:38,22,104000,518079,31334.36,open
Company,2016-06-01 00:00:00,Western Cape,Home and repair,Asset repair,Computer / electronics / appliances,Card Machine,1465194982114-5e376287-4aee-4442-be0b-6e99da8a2b80,2021-11-03 19:54:44,22,10000,24116,3103.1,open
Company,2016-09-01 00:00:00,Northern Cape,"Food, drink and hospitality",Sit-in,Restaurant,Card Machine,1474456872760-a5bb19ee-3efe-4890-a785-aafa38cadc8a,2021-11-03 12:49:51,15.11,375000,465000,17674.95,open
Sole Proprietor,2017-05-01 00:00:00,Gauteng,Personal services,Personal services,Other Services,Card Machine,1495452293517-981a54e2-dc15-41f2-a730-9815ddd36b27,2021-11-25 15:44:33,23,15000,19550,,collections_on_hold
Company,2017-05-01 00:00:00,Gauteng,Home and repair,Asset repair,Automotive services,Card Machine,1496140241969-26910f88-5653-47fb-a4f1-1e6edd62da7b,2021-10-20 14:37:50,17,5000,6150,2768.45,open
Sole Proprietor,2017-06-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Hair salon / barber shop,Card Machine,1479758256398-50cddf21-3a8e-44ad-9e89-a4e67a2a9612,2021-10-23 02:03:59,23,33000,42950,9225.3,open
Sole Proprietor,2017-06-01 00:00:00,North West,"Food, drink and hospitality",Takeaway,Quick service restaurant with delivery,Card Machine,1498634728326-ba84a9bb-fd05-4bac-9114-9e6e4c96e0ae,2021-11-07 20:18:57,23,40000,52050,6223.8,open
Sole Proprietor,2017-08-01 00:00:00,Western Cape,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1499865221924-5d797e1d-3230-45b8-9d84-b8a4de389f28,2021-11-04 12:53:26,24,15500,20200,4440.3,open
Sole Proprietor,2017-08-01 00:00:00,Limpopo,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1502362170276-b94af44d-0d73-4818-b614-292dc65f299a,2021-11-02 07:20:58,23,14000,18250,18250,finished
Sole Proprietor,2017-08-01 00:00:00,Limpopo,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1502362170276-b94af44d-0d73-4818-b614-292dc65f299a,2021-10-11 07:36:43,20,12000,15650,15650,finished
Company,2017-08-01 00:00:00,North West,"Healthcare, beauty and fitness",Health,Medical & Health Practitioners/Services,Card Machine,1503207481393-8f52eacd-e337-4289-a8b4-8684da4825b1,2021-11-17 10:03:06,25,30000,38150,4079.5,open
Company,2017-08-01 00:00:00,Kwazulu-Natal,Retail,Retail transport,Automotive Parts/Accessories,Card Machine,1502875054909-b5833d16-7e75-46c1-b068-e27bd15674fb,2021-09-01 06:29:32,13.85,775000,999750,154949.23,open
Sole Proprietor,2017-08-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Health,Dentist/Orthodontist,Card Machine,1503331444000-dbff8749-5714-4f5e-a513-4488aaf79fa7,2021-09-15 13:48:08,17,7500,9200,9200,finished
Sole Proprietor,2017-08-01 00:00:00,Kwazulu-Natal,"Healthcare, beauty and fitness",Health,Dentist/Orthodontist,Card Machine,1503331444000-dbff8749-5714-4f5e-a513-4488aaf79fa7,2021-11-24 19:07:13,19,20000,27848,,collections_on_hold
Sole Proprietor,2017-09-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1504862055951-5af56fa3-2516-436e-a133-04172130d08b,2021-11-18 14:39:39,9.32,30000,32700,6576.84,open
Sole Proprietor,2017-09-01 00:00:00,Western Cape,"Food, drink and hospitality",Sit-in,Café,Card Machine,1504862055951-5af56fa3-2516-436e-a133-04172130d08b,2021-09-04 16:53:34,3,10000,11451,11451,finished
Company,2017-11-01 00:00:00,Gauteng,Retail,Retail home,Hardware shop,Card Machine,1499083186226-efab4d3e-28d2-492d-bb79-d39320aacd05,2021-10-13 05:34:51,21,57000,74150,12837.51,open
Company,2017-12-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1487422639045-21fcb49a-1a7c-4367-a130-16911a749fd1,2021-11-23 11:04:34,23,92000,309836,,collections_on_hold
Company,2017-12-01 00:00:00,Gauteng,"Food, drink and hospitality",Takeaway,Caterer,Card Machine,1487422639045-21fcb49a-1a7c-4367-a130-16911a749fd1,2021-09-22 08:23:11,22,64000,234226,234226,finished
Sole Proprietor,2018-01-01 00:00:00,Western Cape,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1514793269531-268fb461-dd01-4025-866f-798ed3349558,2021-10-21 11:16:52,11,30000,34251,14579.53,open
Company,2018-02-01 00:00:00,Western Cape,Leisure and entertainment,Public,Music/Cinema/Performing Arts,Card Machine,1519296149615-4e532519-c91d-44ed-8007-09aa4b6f16d4,2021-11-01 08:56:35,12,46000,128793,4059.78,open
Company,2018-02-01 00:00:00,Western Cape,Leisure and entertainment,Public,Music/Cinema/Performing Arts,Card Machine,1519296149615-4e532519-c91d-44ed-8007-09aa4b6f16d4,2021-09-01 08:13:45,10,60000,80229,80229,finished
Company,2018-03-01 00:00:00,Gauteng,Retail,Retail apparel,Clothing and Accessories,Card Machine,1521815192695-46d182e5-e781-4bed-ab13-4a10aa0952e9,2021-10-20 17:20:52,23,22000,28430,10849.1,open
Sole Proprietor,2018-04-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1521549615083-30674a4b-29ee-4f8e-a0a8-b4ff5034643d,2021-09-22 16:48:21,21,7000,9150,6219.36,open
Sole Proprietor,2018-04-01 00:00:00,Western Cape,Professional services,Other services,Other,Card Machine,1524759195223-a61f1408-593c-48b2-938d-04cd257fc870,2021-11-09 11:57:46,23,20000,26050,2921,open
Sole Proprietor,2018-05-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1525334989098-5e520308-25fb-4f00-b2e2-8adabaeb874a,2021-10-20 12:54:31,5,5000,6550,1337.45,open
Company,2018-05-01 00:00:00,Western Cape,Retail,Retail leisure,Toy/Hobby/Games,Card Machine,1526468246573-1d87d444-b9bc-4b24-8591-a880e3f6142b,2021-09-03 11:44:39,22,7500,9800,4279.38,open
Sole Proprietor,2018-05-01 00:00:00,Gauteng,"Healthcare, beauty and fitness",Beauty,Beauty salon/Spa,Card Machine,1523109689628-29618d5f-900a-4838-a2e6-9478b6e542a3,2021-10-20 07:31:37,23,14000,25771,4238.9,open
Sole Proprietor,2015-11-01 00:00:00,Western Cape,Retail,Retail apparel,Clothing and Accessories,Card Machine,1446199911133-ffd463a3-9864-42c1-97a1-6d85811ac7bf,2021-11-15 10:44:00,20,35000,39951,10677.8,open
